id,asset_type_id,name,manufacturer,model,Cell Type,Power Wattage,Power output tolerance ():,Connector type:,Warranty Type,Phase 1 Years,Phase 1 Percent,Phase 2 Years,Phase 2 Percent,Length (in.),Width (in.),Depth (in.),Weight (lbs.)
,5,Astronergy ASM6610P 250W,Astronergy,ASM6610P 250W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM6610P 255W,Astronergy,ASM6610P 255W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM6610P 260W,Astronergy,ASM6610P 260W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM6610P 265W,Astronergy,ASM6610P 265W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM6610P 270W,Astronergy,ASM6610P 270W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM6610P 275W,Astronergy,ASM6610P 275W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM66610P(BF) 240W,Astronergy,ASM66610P(BF) 240W,,,,,Linear,25,80.2,,,,,,
,5,Astronergy ASM66610P(BF) 245W,Astronergy,ASM66610P(BF) 245W,,,,,Linear,25,80.2,,,,,,
,5,Astronergy ASM66610P(BF) 250W,Astronergy,ASM66610P(BF) 250W,,,,,Linear,25,80.2,,,,,,
,5,Astronergy ASM66610P(BF) 255W,Astronergy,ASM66610P(BF) 255W,,,,,Linear,25,80.2,,,,,,
,5,Astronergy ASM66610P(BF) 260W,Astronergy,ASM66610P(BF) 260W,,,,,Linear,25,80.2,,,,,,
,5,Astronergy ASM66610P(BF) 265W,Astronergy,ASM66610P(BF) 265W,,,,,Linear,25,80.2,,,,,,
,5,Astronergy ASM66610P(BL) 250W,Astronergy,ASM66610P(BL) 250W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM66610P(BL) 255W,Astronergy,ASM66610P(BL) 255W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM66610P(BL) 260W,Astronergy,ASM66610P(BL) 260W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM66610P(BL) 265W,Astronergy,ASM66610P(BL) 265W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM66610P(BL) 270W,Astronergy,ASM66610P(BL) 270W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM66610P(BL) 275W,Astronergy,ASM66610P(BL) 275W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM66612P 305W,Astronergy,ASM66612P 305W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM66612P 310W,Astronergy,ASM66612P 310W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM66612P 315W,Astronergy,ASM66612P 315W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM66612P 320W,Astronergy,ASM66612P 320W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy ASM66612P 325W,Astronergy,ASM66612P 325W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy DIAMOND CHSM6612P 305W,Astronergy,DIAMOND CHSM6612P 305W,,,,,Linear,30,83,,,,,,
,5,Astronergy DIAMOND CHSM6612P 305W HV,Astronergy,DIAMOND CHSM6612P 305W HV,,,,,Linear,30,83,,,,,,
,5,Astronergy DIAMOND CHSM6612P 310W,Astronergy,DIAMOND CHSM6612P 310W,,,,,Linear,30,83,,,,,,
,5,Astronergy DIAMOND CHSM6612P 310W HV,Astronergy,DIAMOND CHSM6612P 310W HV,,,,,Linear,30,83,,,,,,
,5,Astronergy DIAMOND CHSM6612P 315W,Astronergy,DIAMOND CHSM6612P 315W,,,,,Linear,30,83,,,,,,
,5,Astronergy DIAMOND CHSM6612P 315W HV,Astronergy,DIAMOND CHSM6612P 315W HV,,,,,Linear,30,83,,,,,,
,5,Astronergy DIAMOND CHSM6612P 320W,Astronergy,DIAMOND CHSM6612P 320W,,,,,Linear,30,83,,,,,,
,5,Astronergy DIAMOND CHSM6612P 320W HV,Astronergy,DIAMOND CHSM6612P 320W HV,,,,,Linear,30,83,,,,,,
,5,Astronergy DIAMOND CHSM6612P 325W,Astronergy,DIAMOND CHSM6612P 325W,,,,,Linear,30,83,,,,,,
,5,Astronergy DIAMOND CHSM6612P 325W HV,Astronergy,DIAMOND CHSM6612P 325W HV,,,,,Linear,30,83,,,,,,
,5,Astronergy VIOLIN CHSM6610P 250W,Astronergy,VIOLIN CHSM6610P 250W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P 250W HV,Astronergy,VIOLIN CHSM6610P 250W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P 255W,Astronergy,VIOLIN CHSM6610P 255W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P 255W HV,Astronergy,VIOLIN CHSM6610P 255W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P 260W,Astronergy,VIOLIN CHSM6610P 260W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P 260W HV,Astronergy,VIOLIN CHSM6610P 260W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P 265W,Astronergy,VIOLIN CHSM6610P 265W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P 265W HV,Astronergy,VIOLIN CHSM6610P 265W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P 270W,Astronergy,VIOLIN CHSM6610P 270W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P 270W HV,Astronergy,VIOLIN CHSM6610P 270W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN ICHSM6610P Baseline 250W,Astronergy,VIOLIN ICHSM6610P Baseline 250W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P Baseline 250W HV,Astronergy,VIOLIN CHSM6610P Baseline 250W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P Baseline 255W,Astronergy,VIOLIN CHSM6610P Baseline 255W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P Baseline 255W HV,Astronergy,VIOLIN CHSM6610P Baseline 255W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P Baseline 260W,Astronergy,VIOLIN CHSM6610P Baseline 260W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P Baseline 260W HV,Astronergy,VIOLIN CHSM6610P Baseline 260W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P Baseline 265W,Astronergy,VIOLIN CHSM6610P Baseline 265W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P Baseline 265W HV,Astronergy,VIOLIN CHSM6610P Baseline 265W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P Baseline 270W,Astronergy,VIOLIN CHSM6610P Baseline 270W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P Baseline 270W HV,Astronergy,VIOLIN CHSM6610P Baseline 270W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P(BL) 250W,Astronergy,VIOLIN CHSM6610P(BL) 250W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P(BL) 255W,Astronergy,VIOLIN CHSM6610P(BL) 255W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P(BL) 260W,Astronergy,VIOLIN CHSM6610P(BL) 260W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P(BL) 265W,Astronergy,VIOLIN CHSM6610P(BL) 265W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6610P(BL) 270W,Astronergy,VIOLIN CHSM6610P(BL) 270W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN CHSM6612P 315W,Astronergy,VIOLIN CHSM6612P 315W,,,,,Linear,25,80.7,,,,,,
